,length,width,arch_height,shoe_style,length_size,width_size
98928,0.26299199500000003,0.096221612,0.0085964962,a,9.5,6
98264,0.27286252,0.1000440015,0.00642650945,a,11.0,6
98334,0.26449406,0.095234979,0.0054648416,a,10.0,6
99577,0.27445158000000003,0.09839718800000001,0.0060804454,a,11.0,6
99185,0.27940170000000003,0.09954714,0.018686425,a,11.5,6
122332,0.269225925,0.09912261,0.00788623305,m,9.5,6
99200,0.27909723,0.10318635,0.017045080499999997,a,11.5,6
121659,0.25985439,0.10452154,0.019396152,m,10.0,8
97925,0.270139555,0.09574599550000001,0.017332135499999998,a,10.5,6
99991,0.28582199,0.0978839325,0.0128138525,a,12.5,4
123276,0.28520019,0.10713066,0.010049459699999999,m,12.5,6
122617,0.279958455,0.100696035,0.014803374,m,11.5,6
98960,0.250940245,0.10180192,0.0081007837,a,8.5,8
122154,0.27116768,0.102829975,0.012956308,m,11.5,8
100145,0.269883615,0.1139765,0.0091569827,a,11.0,10
121851,0.26047269500000003,0.10808791,0.017477945,m,9.5,8
121852,0.25843831500000003,0.104421275,0.016103080500000002,m,9.5,8
121939,0.27931082,0.104289695,0.0164781715,m,12.0,6
123324,0.2930493,0.11511978,0.020212343,m,14.0,8
98006,0.28675015000000004,0.10696916,0.01003228755,a,12.0,6
98860,0.25587901,0.0940466415,0.0127328715,a,9.5,6
121830,0.260201335,0.10005025,0.010774320300000001,m,9.5,8
122561,0.26613453,0.105164435,0.009678680949999999,m,10.5,6
98446,0.260050715,0.10078611,0.00946515025,a,9.5,8
98737,0.271327865,0.110194265,0.008510345150000001,a,11.0,10
97698,0.26763767,0.107043945,0.0107077525,a,10.5,8
98453,0.27508881500000004,0.098636523,0.017159432500000002,a,9.5,8
122399,0.266848365,0.10075615,0.0172362195,m,11.0,8
99336,0.28303091,0.11123696,0.0111586125,a,11.5,8
122576,0.27368712500000003,0.10524139,0.01451454,m,10.5,6
100044,0.268396525,0.10172111449999999,0.008647963449999999,a,10.5,6
97651,0.265909655,0.107416705,0.00760349745,a,10.0,8
123306,0.26348905,0.10432898,0.018138392,m,10.5,6
99718,0.254346475,0.0898194685,0.013233605,a,9.5,6
122422,0.30480496,0.11100289,0.0067824663,m,15.0,6
98152,0.2844831,0.11485726,0.00727906125,a,12.5,8
99428,0.28936346,0.10166321449999999,0.0130101325,a,13.0,6
100010,0.28544229,0.107538915,0.0165738075,a,12.5,10
98980,0.255333945,0.09984553550000001,0.0133357685,a,9.0,8
123281,0.25954626000000003,0.09786536900000001,0.0102866872,m,9.0,8
121866,0.284252835,0.120320515,0.010995168,m,12.5,8
122236,0.268077775,0.10581772,0.012037521,m,11.0,6
122921,0.30149297,0.11136606,0.0069793614,m,13.0,6
122040,0.28015482,0.10448544,0.014689335,m,11.5,6
122358,0.271028355,0.105997875,0.01017877505,m,11.0,8
99346,0.265016555,0.103574065,0.0194618235,a,11.5,8
98254,0.27999602,0.098938424,0.0141650455,a,11.0,6
99390,0.26524776,0.097663019,0.0101167176,a,10.0,6
99084,0.28129717499999995,0.11064043,0.013961695500000001,a,14.0,6
121767,0.29505974,0.110831145,0.015314445,m,14.0,6
122920,0.283138455,0.106525535,0.0135945085,m,13.0,6
99351,0.275297015,0.10662242,0.011666941,a,11.5,8
99112,0.25692391000000003,0.097048439,0.010721115500000001,a,9.0,6
122530,0.26641617500000003,0.101901505,0.00926120625,m,10.5,6
97816,0.264089685,0.09732368599999999,0.01122430835,a,10.0,6
100048,0.236759845,0.0817287155,0.010601221999999999,a,7.0,6
98513,0.277174505,0.113478375,0.015056421499999998,a,12.0,8
99521,0.25886477500000005,0.0960253585,0.0096717993,a,9.0,6
98294,0.27532603,0.104075105,0.013863906,a,11.0,6
97846,0.261151465,0.097772889,0.017134608500000002,a,10.0,6
99529,0.28352925,0.107843465,0.0166241015,a,12.0,10
121751,0.26238164,0.106302585,0.012763851,m,9.5,10
122296,0.26789151,0.103501155,0.00987397095,m,10.5,6
99974,0.25702999000000004,0.092481017,0.0099731319,a,9.5,4
98352,0.270730555,0.106318375,0.0182566595,a,11.0,8
99901,0.256499825,0.10093964,0.018314765,a,9.5,6
100110,0.281353505,0.104988615,0.0101191865,a,12.0,6
97656,0.26552938,0.10264214,0.0084502702,a,10.0,8
99710,0.26204535500000004,0.0983166395,0.005188331599999999,a,9.5,6
122992,0.270436135,0.102721465,0.0172742845,m,10.5,6
98949,0.24691960500000001,0.09791912900000001,0.012241043,a,7.5,6
122225,0.27298778,0.104345245,0.0181074395,m,11.0,6
99477,0.29350837500000004,0.101811445,0.014543566,a,13.0,6
99156,0.248643455,0.096703108,0.015542299,a,9.0,6
97794,0.26135076,0.10067873,0.006730210299999999,a,10.0,6
